6403.91984 15.008 0.005
6406.86309 14.866 0.005
6408.81271 14.785 0.005
6416.67999 14.519 0.005
6417.87004 14.482 0.005
6419.71468 14.455 0.005
6420.82785 14.426 0.005
6423.66676 14.375 0.005
6424.82481 14.378 0.005
6428.67784 14.328 0.005
6431.80453 14.292 0.005
6432.90731 14.290 0.005
6434.73740 14.279 0.005
6435.86445 14.270 0.005
6436.93666 14.261 0.005
6441.92033 14.232 0.005
6443.70597 14.231 0.005
6445.76643 14.248 0.005
6446.67649 14.229 0.005
6447.75259 14.239 0.005
6448.78408 14.232 0.005
6449.82688 14.234 0.005
6450.87714 14.225 0.005
6452.53794 14.226 0.005
6454.65321 14.222 0.005
6456.52728 14.215 0.005
6457.77954 14.218 0.005
6458.84337 14.210 0.005
6460.57656 14.185 0.005
6461.80861 14.178 0.005
6463.64985 14.166 0.005
6464.75758 14.157 0.005
6469.54526 14.140 0.005
6472.69970 14.151 0.005
6473.82104 14.149 0.005
6475.51863 14.146 0.005
6476.58484 14.142 0.005
6477.68490 14.141 0.005
6479.69242 14.108 0.005
6481.50221 14.108 0.005
6484.49830 14.092 0.005
6486.51783 14.084 0.005
6487.60491 14.081 0.005
6489.77023 14.061 0.005
6491.54565 14.046 0.005
6497.70334 13.977 0.005
6499.48694 13.987 0.005
6501.71104 13.990 0.005
6506.49058 14.018 0.005
6508.63502 14.019 0.005
6510.54114 14.068 0.005
6512.73897 14.092 0.005
6516.52310 14.130 0.005
6519.61938 14.196 0.005
6524.55637 14.282 0.005
6529.53828 14.390 0.005
6532.61501 14.466 0.005
6536.57213 14.549 0.005
6541.60738 14.678 0.005
6545.65019 14.747 0.005
6558.49818 15.042 0.005
6561.54661 15.099 0.005
6564.54220 15.165 0.005
6568.53738 15.237 0.005
6571.49044 15.293 0.005
6573.54731 15.340 0.005
6578.51229 15.399 0.006
6741.84228 14.202 0.005
6742.74745 14.196 0.005
6744.86943 14.266 0.005
6746.76771 14.299 0.005
6749.86192 14.391 0.005
6752.71312 14.436 0.005
6755.81193 14.522 0.005
6756.71507 14.545 0.005
6757.79128 14.588 0.005
6759.81855 14.628 0.005
6761.76289 14.663 0.005
6763.74210 14.715 0.005
6764.91064 14.752 0.005
6764.92522 14.751 0.005
6768.86846 14.839 0.005
6770.71625 14.882 0.005
6771.88885 14.911 0.005
6773.76871 14.943 0.005
6775.69775 14.998 0.005
6776.87709 15.019 0.005
6784.83642 15.168 0.005
6785.81679 15.177 0.005
6786.85022 15.198 0.005
6789.74133 15.234 0.005
6790.82485 15.244 0.005
6791.88224 15.292 0.008
6792.89198 15.277 0.006
6797.69270 15.333 0.006
6799.81784 15.353 0.007
6803.92191 15.364 0.007
6805.59361 15.421 0.006
6806.88671 15.428 0.006
6808.60204 15.451 0.006
6809.63455 15.448 0.006
6810.68123 15.448 0.006
6811.69503 15.462 0.006
6813.82504 15.473 0.006
6814.90878 15.491 0.006
6816.61096 15.483 0.007
6817.72251 15.491 0.006
6819.59594 15.496 0.007
6823.80088 15.531 0.008
6824.84458 15.501 0.006
6825.85816 15.476 0.006
6826.88816 15.475 0.006
6828.56376 15.474 0.006
6829.56429 15.452 0.006
6830.58590 15.469 0.006
6831.73252 15.449 0.006
6832.76516 15.448 0.006
6833.82665 15.437 0.006
6834.83227 15.421 0.007
